url,rss
www.rbc.ru/,https://rssexport.rbc.ru/rbcnews/news/30/full.rss
tass.ru/,https://tass.ru/rss/v2.xml
1prime.ru/News/,https://1prime.ru/News/rss.xml
ria.ru/,https://ria.ru/export/rss2/archive/index.xml
www.interfax.ru/,https://www.interfax.ru/rss.asp
www.finmarket.ru/,http://www.finmarket.ru/rss.asp
www.kommersant.ru/,
www.forbes.ru/,
www.vedomosti.ru/,https://www.vedomosti.ru/rss/articles
thebell.io/,
vpost-media.ru/,https://vpost-media.ru/rss.xml
www.moscowtimes.ru/,https://www.moscowtimes.ru/rss/news
regnum.ru/,https://regnum.ru/rss
www.inopressa.ru/,https://www.inopressa.ru/rss/
russian.rt.com/inotv/all_news,https://russian.rt.com/inotv/s/rss/inotv_main.rss
inosmi.ru/,https://inosmi.ru/export/rss2/index.xml?page_type=google_newsstand
life.ru/,https://life.ru/rss
readovka.news/,
lenta.ru/,https://lenta.ru/rss
eadaily.com/ru/,https://eadaily.com/ru/rss/index.xml
www.banki.ru/news/lenta/,
www.ng.ru/,https://www.ng.ru/rss/
www.gazeta.ru/,
meduza.io/,
www.moscow-post.su/,http://www.moscow-post.su/export/moscow-post.rss
utro-news.ru/,https://utro-news.ru/feed/
ko.ru/,
octagon.media/,https://octagon.media/google_news.xml
www.compromat.ru/,https://www.compromat.ru/rss/rss.xml
rucompromat.com/,
compromat.group/,https://compromat.group/rss.xml
www.kompromatural.ru/,
www.znak.com/global/,
www.fontanka.ru/?gg,https://www.fontanka.ru/rss.xml
47news.ru/,https://47news.ru/rss/
www.kommersant.ru/regions/78,
pravdaurfo.ru/,https://pravdaurfo.ru/rss/all/rss.xml
ura.news/,https://ura.news/rss
capost.media/,https://capost.media/rss.xml
tayga.info/,https://tayga.info/rss
versia.ru/,https://versia.ru/rss/index.xml
novayagazeta.ru/,https://novayagazeta.ru/feed/rss
www.bbc.com/russian,http://feeds.bbci.co.uk/russian/rss.xml
www.dw.com/ru/,
theins.ru/,https://theins.ru/feed
www.agents.media/,www.agents.media/rss
rucriminal.info/ru,https://rucriminal.info/ru/rss
kompromat1.pro/,https://kompromat1.pro/rss.xml
glavk.net/,https://glavk.net/rss.xml
pasmi.ru/,https://pasmi.ru/feed/
rospres.site/,
dailystorm.ru/,https://dailystorm.ru/media/rss.xml
newizv.ru/,https://newizv.ru/rss
www.svoboda.org/,https://www.svoboda.org/api/
moment-istini.com/,
rupres.su/,
acompromat.com/,https://acompromat.com/rss.php
russiangate.site/,
ustav.group/,https://ustav.group/?format=feed&type=rss
rusmonitor.com/,https://rusmonitor.com/feed
dofa.news/,http://dofa.news/feed/
delo.ua/,
daily.rbc.ua/,https://www.rbc.ua/static/rss/all.rus.rss.xml
